name,year,price,mileage
Giulietta,2011,4950,268000
GT,2006,1800,260000
159,2006,2500,238000
159,2008,5900,248000
159,2006,4250,226000
Giulia,2016,20990,112000
Spider,1997,6000,245000
159,2010,4790,326000
159,2008,2000,322000
Stelvio,2019,26650,88000
159,2009,8500,135000
159,2007,5900,180000
Giulietta,2011,4550,246000
Citi,2009,Citi,
Stelvio,2023,59900,10
159,2010,7900,190000
159,2008,5500,189000
156,2005,1900,239000
159,2008,159,
147,2005,147,
Giulietta,2012,Giulietta,
Stelvio,2017,24900,111000
Stelvio,2019,27900,157000
Stelvio,2017,22900,174000
Brera,2007,12500,93000
GTV,2003,5900,190000
